name,affiliations,last_5_year_total,first_author_total,corresponding_author_total,top_total,a_plus_total,a_total,a1_total,a2_total,level_counts_json,paper_links,paper_titles,journals,years,author_roles,is_likely_chinese_name,chinese_name_score,name_filter_reason,review_status
Chenxi Xu,Sichuan University; Poznań University of Technology,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.omega.2026.103570,A progressive preference disaggregation method for temporal multiple criteria ranking problems,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Chuan Zhao,Beijing Technology and Business University; Technological University Dublin; Hong Kong Polytechnic University,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.tra.2026.105016,"Prospect and evolution of the demand-responsive transport: price, subsidies, and market dynamics",TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Chuanyao Li,"School of Traffic and Transportation Engineering, Central South University, Changsha 410075, China",1,1,0,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1287/trsc.2025.0379,Equilibrium Analysis of Full-Day Commuting with Telecommuting and Autonomous Vehicles,TRANSPORTATION SCIENCE,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",needs_review
Chunan Wang,Beihang University; Chinese Academy of Sciences; Academy of Mathematics and Systems Science; Hefei University of Technology,1,0,1,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.tra.2026.105009,Uncertainty in CORSIA: assessing impacts of BASIC’s withdrawal on carbon offsetting,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,2026,corresponding_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",needs_review
Chunhui Yu,Tongji University; Purdue University West Lafayette; Chinese Academy of Engineering; Chinese Academy of Agricultural Engineering; Institute of Physics,1,0,1,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1016/j.trb.2026.103470,A learning-based MPC framework for gridlock-aware over-saturated network traffic control,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,2026,corresponding_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",needs_review
Chuntian Zhang,Beijing Jiaotong University; Xi'an Jiaotong University; Beijing Institute of Technology,1,0,1,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1016/j.trb.2026.103434,Integrated bus bridging service design and vehicle scheduling considering passenger flow control strategy in an oversaturated metro network: A Lagrangian heuristic based on column generation,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Claire Y.T. Chen,Karlsruhe Institute of Technology; Université de Montpellier,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.ijpe.2026.110072,Integrating large language models for data-driven adaptive decision support in floriculture production: Managing contextual heterogeneity,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Dan Zhuge,"School of Management, Shanghai University, Shanghai 200444, China",1,1,0,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1287/trsc.2025.0318,Liner Fleet Deployment and Speed Optimization Under Emission Reduction Technologies,TRANSPORTATION SCIENCE,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",needs_review
David Z W Wang,Nanyang Technological University; University of Hong Kong,1,0,1,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.trc.2026.105756,Causal-aware deep reinforcement learning framework to predictively optimize for-hire vehicle fleet repositioning,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,2026,corresponding_author,1,0.8,"chinese_surname,pinyin_given_name_shape,initial_plus_pinyin,person_name_length",needs_review
Dengyu Zhao,Nanjing University of Information Science and Technology,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1080/01605682.2026.2669266,Collusion core-Nash ordinal consensus mechanism for large-scale group decision-making,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",needs_review
Di Zhang,"College of Science, North China Institute of Science and Technology",1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1080/01605682.2026.2642357,Research on urban emergency material support capacity based on segmented driven three-way decision VIKOR method,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",needs_review
Dingkai Zhang,Tongji University,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.trc.2026.105685,Adaptive graph-Aware contrasting for heterogeneous traffic flow forecasting,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Dong Yang,Hong Kong Polytechnic University,1,0,1,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.tre.2026.104911,Verbal-command-driven ship trajectory prediction: a context-aware intent injection mechanism for intelligent maritime transportation,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Dongmin Li,"H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology",1,1,0,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1080/24725854.2026.2631610,A Bayesian jump model-based pathwise sampling approach for online anomaly detection,IISE TRANSACTIONS,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Dujuan Wang,"Business School, Sichuan University",1,0,1,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1080/01605682.2026.2636606,Data-driven perspective for improving first-time attempts in last-mile deliveries: evidence from a chinese home appliance retailer,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Edward W. Sun,Kedge Business School,1,0,1,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.ijpe.2026.110072,Integrating large language models for data-driven adaptive decision support in floriculture production: Managing contextual heterogeneity,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,2026,corresponding_author,1,0.8,"chinese_surname,pinyin_given_name_shape,initial_plus_pinyin,person_name_length",needs_review
Entai Wang,"School of Systems Science, Beijing Jiaotong University, Beijing 100044, China; and Department of Logistics and Operations Management, HEC Montréal, Montréal, Québec H3T 2A7, Canada",1,1,0,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1287/trsc.2024.0905,Joint Rolling Stock and Crew Scheduling with Multi-train Composition in Urban Rail Networks,TRANSPORTATION SCIENCE,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",needs_review
Erzhuo Zhang,,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.tra.2026.105033,Land use optimization in coastal city: driven by port-industry-city integration,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Fangbin Wang,Hefei University of Technology,1,0,1,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.tra.2026.105041,Navigating artificial intelligence risk: Investigating intention to adopt driverless vehicles through an extended technology acceptance model,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Fangyu Cao,Beihang University; Chinese Academy of Sciences; Academy of Mathematics and Systems Science; Hefei University of Technology,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.tra.2026.105009,Uncertainty in CORSIA: assessing impacts of BASIC’s withdrawal on carbon offsetting,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",needs_review
Fei Li,"College of Business, University of Nevada, Reno Reno Nevada USA",1,1,0,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1002/joom.70034,Calling It Quits: A Behavioral Perspective on Exploration and Exploitation in R&amp;D Project Termination,JOURNAL OF OPERATIONS MANAGEMENT,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Fei Yang,Tsinghua University,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.trc.2026.105698,Anti-singular control of a hybrid-motion vehicle and experimental validations for its applicability in micro-sized transportation scenarios,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",needs_review
Feifei Yang,"College of Economics and Management, Beijing University of Technology",1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1080/01605682.2026.2641675,Multi-stage stochastic programming for dynamic nurse scheduling and bed allocation with buffer wards,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Feng Ju,"School of Computing and Augmented Intelligence, Arizona State University",1,0,1,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1080/24725854.2026.2649852,Deep reinforcement learning based dynamic printing control in Large Format Additive Manufacturing,IISE TRANSACTIONS,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
