name,author_role,paper_id,title,journal,achievement_level,year,doi,paper_url,source,affiliations,is_likely_chinese_name,chinese_name_score,name_filter_reason
Dongmin Li,first_author,1978,A Bayesian jump model-based pathwise sampling approach for online anomaly detection,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2631610,https://doi.org/10.1080/24725854.2026.2631610,"openalex,crossref","H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Miaomiao Yu,first_author,1991,A communication-efficient distributed algorithm for online monitoring in big data systems,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2613448,https://doi.org/10.1080/24725854.2026.2613448,"openalex,crossref","Key Laboratory of Advanced Theory and Application in Statistics and Data Science-MOE, and School of Statistics and Academy of Statistics and Interdisciplinary Sciences, East China Normal University",1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Wei Zhao,corresponding_author,1991,A communication-efficient distributed algorithm for online monitoring in big data systems,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2613448,https://doi.org/10.1080/24725854.2026.2613448,"openalex,crossref","Department of Statistics, Shanghai Polytechnic University",0,0.5,"chinese_surname,person_name_length"
Chao Fang,corresponding_author,1982,A stochastic defender-attacker-defender model for smart system resilience enhancement against hybrid cyber-physical risks,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2629976,https://doi.org/10.1080/24725854.2026.2629976,"openalex,crossref","School of Management, Xi’an Jiaotong University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Haoyuan Chen,first_author,1972,Aggregation models with optimal weights for distributed Gaussian processes,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2637908,https://doi.org/10.1080/24725854.2026.2637908,"openalex,crossref","Department of Industrial and Systems Engineering, Texas A&M University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Zhiyuan Wei,corresponding_author,1957,An optimization approach integrating coverage and cost in fire unit relocation,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2646934,https://doi.org/10.1080/24725854.2026.2646934,"openalex,crossref","Department of Industrial and Manufacturing Engineering, California Polytechnic State University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Kai Wang,corresponding_author,1965,Common components or individual ones or between? A partially linked multi-matrix decomposition for joint modeling of multivariate heterogeneous profile data,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2642988,https://doi.org/10.1080/24725854.2026.2642988,"openalex,crossref","School of Management, Xi’an Jiaotong University; System Behavior and Management Laboratory of Xi’an Jiaotong University, Philosophy and Social Sciences Laboratory of the Ministry of Education",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Ziyu Wang,first_author,1979,Condition-based maintenance for production systems: Inferring degradation states from quality characteristics,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2628678,https://doi.org/10.1080/24725854.2026.2628678,"openalex,crossref","College of Management and Economics, Tianjin University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Xiujie Zhao,corresponding_author,1979,Condition-based maintenance for production systems: Inferring degradation states from quality characteristics,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2628678,https://doi.org/10.1080/24725854.2026.2628678,"openalex,crossref","College of Management and Economics, Tianjin University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Haoyang Xie,first_author,1956,Deep reinforcement learning based dynamic printing control in Large Format Additive Manufacturing,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2649852,https://doi.org/10.1080/24725854.2026.2649852,"openalex,crossref","School of Computing and Augmented Intelligence, Arizona State University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
